date,trade_code,high,low,open,close,volume
30-07-20,AAMRANET,38.6,35.7,38.5,37.6,"320,701"
29-07-20,AAMRANET,39.8,37.8,38.4,38.5,"271,038"
28-07-20,AAMRANET,38.4,36.1,36.3,38.1,"304,577"
27-07-20,AAMRANET,37.2,36,36.8,36.3,"158,528"
26-07-20,AAMRANET,37.1,35.5,36.3,36.8,"196,257"
23-07-20,AAMRANET,36.1,34.7,35,35.9,"254,832"
22-07-20,AAMRANET,35.5,34.2,34.3,35,"208,705"
21-07-20,AAMRANET,34.3,33.4,33.5,34.1,"190,123"
20-07-20,AAMRANET,34,33.2,33.2,33.4,"52,406"
19-07-20,AAMRANET,33.2,33.2,33.2,33.2,"64,921"
16-07-20,AAMRANET,33.5,33.2,33.3,33.3,"54,187"
15-07-20,AAMRANET,33.5,33.2,33.4,33.3,"60,526"
14-07-20,AAMRANET,34.9,33.2,33.9,33.4,"84,552"
13-07-20,AAMRANET,35.5,33.8,35,33.9,"109,991"
12-07-20,AAMRANET,35.5,34.6,35,35.1,"21,288"
09-07-20,AAMRANET,35.3,33.5,33.5,35,"79,126"
08-07-20,AAMRANET,35.4,33.2,33.2,33.3,"126,450"
07-07-20,AAMRANET,33.2,33.2,33.2,33.2,"54,400"
06-07-20,AAMRANET,33.2,33.2,33.2,33.2,94
05-07-20,AAMRANET,33.2,33.2,33.2,33.2,300
02-07-20,AAMRANET,33.2,33.2,33.2,33.2,"19,025"
10-08-20,AAMRATECH,26.2,25.5,26.2,25.6,"72,269"
09-08-20,AAMRATECH,26.4,25.4,26.2,26.2,"123,713"
06-08-20,AAMRATECH,26,24.9,24.9,25.8,"137,456"
05-08-20,AAMRATECH,25,24.5,24.8,24.9,"72,482"
04-08-20,AAMRATECH,25.6,24.5,25.3,24.8,"87,772"
03-08-20,AAMRATECH,25.6,24.7,25.5,25.3,"90,096"
30-07-20,AAMRATECH,25.9,24.5,25,25.4,"216,512"
29-07-20,AAMRATECH,25.2,24.1,24.1,25,"126,507"
28-07-20,AAMRATECH,24,23.5,23.7,23.9,"68,336"
27-07-20,AAMRATECH,23.8,23.4,23.4,23.5,"33,870"
26-07-20,AAMRATECH,23.9,23.2,23.5,23.4,"51,325"
23-07-20,AAMRATECH,23.7,23,23,23.5,"28,574"
22-07-20,AAMRATECH,23.6,23,23.5,23.1,"33,754"
21-07-20,AAMRATECH,23.1,23,23,23,"26,121"
20-07-20,AAMRATECH,23,23,23,23,"12,726"
19-07-20,AAMRATECH,23,23,23,23,6
16-07-20,AAMRATECH,23,23,23,23,"7,085"
15-07-20,AAMRATECH,23,23,23,23,"4,665"
14-07-20,AAMRATECH,23,23,23,23,"2,990"
13-07-20,AAMRATECH,23.4,23,23.1,23.1,"77,654"
12-07-20,AAMRATECH,23.9,23,23.2,23.1,"22,209"
09-07-20,AAMRATECH,23.8,23,23,23.1,"44,283"
08-07-20,AAMRATECH,23,23,23,23,"3,325"
07-07-20,AAMRATECH,23,23,23,23,170
06-07-20,AAMRATECH,23,23,23,23,"10,500"
05-07-20,AAMRATECH,23,23,23,23,"3,400"
02-07-20,AAMRATECH,23,23,23,23,"2,005"
10-08-20,ABB1STMF,4.4,4.2,4.4,4.2,"2,897,616"
09-08-20,ABB1STMF,4.4,4.2,4.3,4.4,"236,476"
06-08-20,ABB1STMF,4.3,4.2,4.2,4.2,"1,230,200"
05-08-20,ABB1STMF,4.2,4.2,4.2,4.2,"1,314,565"
04-08-20,ABB1STMF,4.2,4.2,4.2,4.2,"117,841"
03-08-20,ABB1STMF,4.2,4.2,4.2,4.2,"162,938"
30-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"57,880"
29-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"338,611"
28-07-20,ABB1STMF,4.3,4.2,4.2,4.2,"134,784"
27-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"66,160"
26-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"66,981"
23-07-20,ABB1STMF,4.3,4.2,4.3,4.2,"126,210"
22-07-20,ABB1STMF,4.3,4.2,4.2,4.2,"68,751"
21-07-20,ABB1STMF,4.4,4.2,4.2,4.2,"85,813"
20-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"63,666"
19-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"76,340"
16-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"78,806"
15-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"69,309"
14-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"47,792"
13-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"62,183"
12-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"63,937"
09-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"108,139"
08-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"67,014"
07-07-20,ABB1STMF,4.2,4.2,4.2,4.2,"75,648"
06-07-20,ABB1STMF,0,0,0,4.2,0
05-07-20,ABB1STMF,4.2,4.2,4.2,4.2,55
02-07-20,ABB1STMF,0,0,0,4.2,0
10-08-20,ABBANK,0,0,0,8.2,0
09-08-20,ABBANK,8.3,7.6,7.7,8.2,"2,317,549"
06-08-20,ABBANK,7.8,7.4,7.5,7.7,"987,896"
05-08-20,ABBANK,7.9,7.5,7.9,7.6,"1,090,726"
04-08-20,ABBANK,8,7.6,7.6,7.8,"1,043,741"
03-08-20,ABBANK,8,7.2,7.3,7.6,"1,168,318"
30-07-20,ABBANK,7.3,7,7.1,7.3,"371,972"
29-07-20,ABBANK,7.2,7,7.1,7.1,"443,726"
28-07-20,ABBANK,7.2,7,7.1,7.1,"238,421"
27-07-20,ABBANK,7.2,7,7,7.1,"283,201"
26-07-20,ABBANK,7.1,6.9,7,7,"206,026"
23-07-20,ABBANK,7,6.9,6.9,7,"48,080"
22-07-20,ABBANK,7,6.8,6.9,6.9,"504,247"
21-07-20,ABBANK,7.1,6.8,6.8,6.9,"280,801"
20-07-20,ABBANK,7,6.8,6.9,6.9,"154,503"
19-07-20,ABBANK,7,6.8,6.9,6.9,"228,753"
16-07-20,ABBANK,7,6.8,6.9,6.9,"296,191"
15-07-20,ABBANK,7.1,6.9,7,6.9,"264,428"
14-07-20,ABBANK,7.1,6.9,7.1,7,"162,586"
13-07-20,ABBANK,7.2,6.9,7.1,7,"413,990"
12-07-20,ABBANK,7.3,7.1,7.3,7.2,"418,337"
09-07-20,ABBANK,7.4,7.1,7.2,7.3,"300,516"
08-07-20,ABBANK,7.2,6.9,6.9,7.2,"338,246"
07-07-20,ABBANK,7.1,6.9,6.9,6.9,"407,874"
06-07-20,ABBANK,7,6.8,6.8,6.9,"192,461"
05-07-20,ABBANK,7.2,6.7,7.1,6.8,"917,556"
02-07-20,ABBANK,7.3,6.8,6.8,7.2,"368,563"
10-08-20,ACFL,23.9,22.3,23.3,23.2,"574,865"
09-08-20,ACFL,23.3,21.8,21.8,23.3,"654,671"
06-08-20,ACFL,21.2,19.2,19.5,21.2,"420,902"
05-08-20,ACFL,20,19.1,19.8,19.3,"152,174"
04-08-20,ACFL,20.4,19.7,19.8,19.9,"187,990"
03-08-20,ACFL,20.3,19.6,20.1,19.8,"215,279"
30-07-20,ACFL,20.6,19.2,19.2,20.1,"348,830"
29-07-20,ACFL,19.4,18.6,18.6,19.2,"166,950"
28-07-20,ACFL,19,18.6,18.7,18.6,"56,412"
27-07-20,ACFL,19,18.6,18.6,18.7,"92,313"
26-07-20,ACFL,19.4,18.6,19,18.6,"163,363"
23-07-20,ACFL,19.2,18.6,18.6,18.9,"188,917"
22-07-20,ACFL,18.6,18.6,18.6,18.6,"3,830"
21-07-20,ACFL,18.6,18.6,18.6,18.6,"5,540"
20-07-20,ACFL,18.6,18.6,18.6,18.6,10
19-07-20,ACFL,0,0,0,18.6,0
16-07-20,ACFL,18.6,18.6,18.6,18.6,5
15-07-20,ACFL,18.6,18.6,18.6,18.6,300
14-07-20,ACFL,18.6,18.6,18.6,18.6,"1,000"
13-07-20,ACFL,18.8,18.6,18.6,18.6,"67,512"
12-07-20,ACFL,18.9,18.6,18.6,18.6,"96,697"
09-07-20,ACFL,19.4,18.6,18.6,18.6,"201,275"
08-07-20,ACFL,18.6,18.6,18.6,18.6,100
07-07-20,ACFL,18.6,18.6,18.6,18.6,244
06-07-20,ACFL,18.6,18.6,18.6,18.6,1
05-07-20,ACFL,18.6,18.6,18.6,18.6,200
02-07-20,ACFL,18.6,18.6,18.6,18.6,200
10-08-20,ACI,271,263,269.1,265.2,"146,119"
09-08-20,ACI,276.2,262.1,262.1,269,"203,746"
06-08-20,ACI,266,249.7,251,261.9,"153,768"
05-08-20,ACI,256.1,245.1,255.9,250.6,"93,831"
04-08-20,ACI,260,248.4,249,255.9,"103,405"
03-08-20,ACI,254,243.2,245,249,"139,763"
30-07-20,ACI,245,236,238.7,242.3,"101,852"
29-07-20,ACI,239.9,231,232,238.8,"136,307"
28-07-20,ACI,232.5,223,232.5,229.5,"93,345"
27-07-20,ACI,238.7,225.5,228,234.5,"206,465"
26-07-20,ACI,229.1,210,210,223.5,"181,208"
23-07-20,ACI,212.3,208.1,210.3,210.7,"61,508"
22-07-20,ACI,211.1,208,209.4,210.3,"61,222"
21-07-20,ACI,210,205.8,206.3,209.4,"64,406"
20-07-20,ACI,207,203,203,206.4,"58,212"
19-07-20,ACI,207,203.5,207,205.4,"35,399"
16-07-20,ACI,209.9,207.6,208,208,"52,204"
15-07-20,ACI,208.9,205.5,205.6,208.1,"56,084"
14-07-20,ACI,212.9,206,209.4,207.7,"74,735"
13-07-20,ACI,215,207.5,213.7,209.3,"71,577"
12-07-20,ACI,215,205.5,210,213.7,"118,840"
09-07-20,ACI,210.5,199.6,200.1,208,"167,651"
08-07-20,ACI,205,199.6,201.9,200.7,"106,796"
07-07-20,ACI,203.5,196.5,197.8,201.9,"98,599"
06-07-20,ACI,198.6,191,192.6,197.4,"69,717"
05-07-20,ACI,197.4,191.5,197.1,192.6,"45,213"
02-07-20,ACI,203.1,197.3,203.1,198,"65,034"
10-08-20,ACIFORMULA,127.8,123.2,127.1,125.6,"91,930"
09-08-20,ACIFORMULA,131,125,127.4,126.4,"70,409"
06-08-20,ACIFORMULA,127,122.1,122.1,125.5,"85,651"
05-08-20,ACIFORMULA,128.8,120.7,126.7,122.8,"105,287"
04-08-20,ACIFORMULA,132.2,126,131.9,126.7,"84,999"
03-08-20,ACIFORMULA,134,123,125.9,129.4,"92,759"
30-07-20,ACIFORMULA,127,122.1,124.8,123.9,"88,376"
29-07-20,ACIFORMULA,126.8,120.4,121,125.4,"148,534"
28-07-20,ACIFORMULA,121,114.1,118,120.2,"75,211"
27-07-20,ACIFORMULA,121.3,112.5,112.5,118,"196,646"
26-07-20,ACIFORMULA,111.9,107,107,110.3,"63,306"
23-07-20,ACIFORMULA,108.8,105.9,107.4,106.2,"31,459"
22-07-20,ACIFORMULA,109.9,106.8,108.5,107.4,"32,657"
21-07-20,ACIFORMULA,108.5,106.2,107,107.5,"26,696"
20-07-20,ACIFORMULA,108.3,103.5,104,107,"34,186"
19-07-20,ACIFORMULA,107.9,103.8,107.8,104.7,"42,277"
16-07-20,ACIFORMULA,109.5,106.3,108.3,106.8,"35,949"
15-07-20,ACIFORMULA,109.9,107.7,109.1,108.3,"45,707"
14-07-20,ACIFORMULA,112.8,109,112.8,109.5,"41,272"
13-07-20,ACIFORMULA,115.4,110.5,113,111.4,"60,456"
12-07-20,ACIFORMULA,114,108,109.1,113.4,"81,873"
09-07-20,ACIFORMULA,111.4,107.7,107.7,109.2,"73,515"
08-07-20,ACIFORMULA,110.8,108,108.8,108.5,"79,218"
07-07-20,ACIFORMULA,109.9,107.1,108.9,108.8,"49,120"
06-07-20,ACIFORMULA,108.8,105,106.4,108.1,"34,343"
05-07-20,ACIFORMULA,108.9,106.1,108.9,106.7,"34,141"
02-07-20,ACIFORMULA,110.2,107.8,110.2,108.9,"37,951"
10-08-20,ACMELAB,71.4,68.4,70,69.7,"738,872"
09-08-20,ACMELAB,70.5,67.5,67.5,69.5,"586,307"
06-08-20,ACMELAB,67.5,65.8,66.9,67.1,"253,378"
05-08-20,ACMELAB,68.3,66.1,68.3,66.8,"272,674"
04-08-20,ACMELAB,68.4,65.3,65.8,68.2,"464,061"
03-08-20,ACMELAB,66.3,64.6,64.8,65.8,"446,921"
30-07-20,ACMELAB,64.5,62.8,63.6,64.4,"725,734"
29-07-20,ACMELAB,63.9,63.2,63.5,63.6,"74,496"
28-07-20,ACMELAB,64,63.6,63.9,63.6,"116,414"
27-07-20,ACMELAB,64,63.1,63.3,63.8,"209,900"
26-07-20,ACMELAB,63.5,62.3,62.4,63.3,"120,544"
23-07-20,ACMELAB,62.7,62.2,62.7,62.6,"74,833"
22-07-20,ACMELAB,63,62.4,62.8,62.7,"81,731"
21-07-20,ACMELAB,63.2,62.7,62.9,62.8,"62,047"
20-07-20,ACMELAB,63.3,61.2,62.2,63,"116,165"
19-07-20,ACMELAB,63.5,61.7,63.5,62.3,"114,407"
16-07-20,ACMELAB,64,63.3,64,63.5,"121,263"
15-07-20,ACMELAB,64.4,63,63.4,64,"244,354"
14-07-20,ACMELAB,64.3,62.9,63,63.4,"184,657"
13-07-20,ACMELAB,64.6,63,63.8,63.3,"194,421"
12-07-20,ACMELAB,64.1,62.4,63,63.8,"365,920"
09-07-20,ACMELAB,63.5,62.1,63.2,62.8,"352,739"
08-07-20,ACMELAB,63.3,61.9,62.3,63.2,"354,604"
07-07-20,ACMELAB,63,61.7,61.7,62.3,"190,175"
06-07-20,ACMELAB,62.2,61,61.8,61.6,"208,580"
05-07-20,ACMELAB,62.1,61.6,62.1,61.8,"124,940"
02-07-20,ACMELAB,63.4,62,63.4,62.3,"225,686"
10-08-20,ACTIVEFINE,18.3,17.2,18.2,17.4,"3,796,431"
09-08-20,ACTIVEFINE,19,17.8,18.2,18.1,"3,764,577"
06-08-20,ACTIVEFINE,19,17,17.5,18.1,"4,939,054"
05-08-20,ACTIVEFINE,18,16.6,17.1,17.5,"4,598,881"
04-08-20,ACTIVEFINE,16.9,15.6,16.5,16.9,"6,180,477"
03-08-20,ACTIVEFINE,15.4,14.2,14.2,15.4,"2,384,240"
30-07-20,ACTIVEFINE,14,12.9,12.9,14,"3,550,020"
29-07-20,ACTIVEFINE,13,12.5,12.6,12.8,"1,199,749"
28-07-20,ACTIVEFINE,12.6,12.4,12.5,12.5,"666,145"
27-07-20,ACTIVEFINE,12.6,12.4,12.5,12.4,"511,083"
26-07-20,ACTIVEFINE,12.6,12.3,12.5,12.5,"350,791"
23-07-20,ACTIVEFINE,12.5,12.3,12.5,12.3,"493,994"
22-07-20,ACTIVEFINE,12.8,12.4,12.6,12.5,"325,053"
21-07-20,ACTIVEFINE,12.6,12.3,12.3,12.6,"624,031"
20-07-20,ACTIVEFINE,12.5,12.3,12.3,12.4,"469,308"
19-07-20,ACTIVEFINE,12.5,12.3,12.5,12.3,"251,285"
16-07-20,ACTIVEFINE,12.6,12.3,12.5,12.5,"509,412"
15-07-20,ACTIVEFINE,12.9,12.3,12.7,12.5,"979,271"
14-07-20,ACTIVEFINE,13.3,12.6,13.2,12.7,"566,425"
13-07-20,ACTIVEFINE,13.6,13,13.5,13.1,"940,115"
12-07-20,ACTIVEFINE,13.6,13,13.3,13.4,"789,350"
09-07-20,ACTIVEFINE,13.5,12.3,12.3,13.3,"2,687,788"
08-07-20,ACTIVEFINE,12.3,12.3,12.3,12.3,"89,746"
07-07-20,ACTIVEFINE,12.3,12.3,12.3,12.3,"21,847"
06-07-20,ACTIVEFINE,12.3,12.3,12.3,12.3,"18,506"
05-07-20,ACTIVEFINE,12.3,12.3,12.3,12.3,"53,500"
02-07-20,ACTIVEFINE,12.3,12.3,12.3,12.3,"1,100"
10-08-20,ADNTEL,40.3,38.6,38.8,39,"1,429,969"
09-08-20,ADNTEL,39.5,38.2,38.9,38.8,"1,362,645"
06-08-20,ADNTEL,39.5,37.8,38.5,38.5,"736,938"
05-08-20,ADNTEL,40.5,38,40.5,38.4,"1,129,404"
04-08-20,ADNTEL,41.9,37.7,40.5,40.2,"1,278,310"
03-08-20,ADNTEL,41.4,37.7,37.8,40.1,"1,171,811"
30-07-20,ADNTEL,39,37.1,38.4,37.7,"1,286,372"
29-07-20,ADNTEL,39.7,37.4,39,38.4,"1,211,482"
28-07-20,ADNTEL,39.4,36.7,37.3,38.8,"1,353,885"
27-07-20,ADNTEL,38,36.5,37.8,37.4,"1,602,850"
26-07-20,ADNTEL,38,35.4,36,37.8,"1,522,624"
23-07-20,ADNTEL,36.5,34,34,36.2,"1,833,503"
22-07-20,ADNTEL,34.5,32.8,32.8,34.1,"1,216,653"
21-07-20,ADNTEL,33,32.1,32.1,32.8,"634,130"
20-07-20,ADNTEL,32.1,32.1,32.1,32.1,"11,330"
19-07-20,ADNTEL,32.1,32.1,32.1,32.1,"11,000"
16-07-20,ADNTEL,32.3,32.1,32.1,32.1,"202,398"
15-07-20,ADNTEL,34,32.1,34,32.1,"627,524"
14-07-20,ADNTEL,34,32.1,33.6,32.2,"435,857"
13-07-20,ADNTEL,35,32.1,32.1,33.6,"1,307,770"
12-07-20,ADNTEL,32.1,32.1,32.1,32.1,"301,199"
09-07-20,ADNTEL,32.1,32.1,32.1,32.1,"45,105"
08-07-20,ADNTEL,32.1,32.1,32.1,32.1,"3,205"
07-07-20,ADNTEL,32.1,32.1,32.1,32.1,"1,001"
06-07-20,ADNTEL,32.1,32.1,32.1,32.1,50
05-07-20,ADNTEL,32.1,32.1,32.1,32.1,150
02-07-20,ADNTEL,0,0,0,32.1,0
10-08-20,ADVENT,25.3,24,25.2,24.2,"984,970"
09-08-20,ADVENT,25.6,24.5,24.7,24.9,"2,010,251"
06-08-20,ADVENT,24.8,23.9,24.1,24.1,"1,478,836"
05-08-20,ADVENT,25.5,23.7,25,24,"1,112,000"
04-08-20,ADVENT,25.5,23.9,24,24.8,"2,164,251"
03-08-20,ADVENT,24.1,23.3,23.3,23.9,"1,198,226"
30-07-20,ADVENT,23.2,22.8,22.8,23.1,"884,668"
29-07-20,ADVENT,22.8,22.8,22.8,22.8,"652,055"
28-07-20,ADVENT,22.9,22.8,22.9,22.8,"245,595"
27-07-20,ADVENT,23.2,22.8,23,22.8,"664,438"
26-07-20,ADVENT,23.2,22.9,22.9,23,"517,217"
23-07-20,ADVENT,22.9,22.8,22.8,22.8,"260,279"
22-07-20,ADVENT,23.2,22.8,23.2,22.8,"691,291"
21-07-20,ADVENT,23.5,23,23.1,23.1,"378,510"
20-07-20,ADVENT,23.4,22.8,23.2,22.8,"917,683"
19-07-20,ADVENT,23.7,22.8,23.7,23.1,"502,594"
16-07-20,ADVENT,24.3,23.5,23.6,23.7,"1,059,126"
15-07-20,ADVENT,23.6,22.8,22.8,23.5,"1,349,958"
14-07-20,ADVENT,23,22.8,22.8,22.8,"185,819"
13-07-20,ADVENT,23.2,22.8,22.8,22.8,"1,015,804"
12-07-20,ADVENT,23,22.8,22.8,22.8,"237,836"
09-07-20,ADVENT,23.1,22.8,22.8,22.8,"536,285"
08-07-20,ADVENT,22.8,22.8,22.8,22.8,"64,673"
07-07-20,ADVENT,22.8,22.8,22.8,22.8,91
06-07-20,ADVENT,0,0,0,22.8,0
05-07-20,ADVENT,22.8,22.8,22.8,22.8,"4,000"
02-07-20,ADVENT,22.8,22.8,22.8,22.8,10
10-08-20,AFCAGRO,19.5,18.8,19.1,18.8,"463,675"
09-08-20,AFCAGRO,19.9,19,19,19.5,"683,614"
06-08-20,AFCAGRO,19.2,17.6,18,18.9,"449,799"
05-08-20,AFCAGRO,19.1,17.1,18.7,17.8,"559,837"
